City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1793,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1794,Hithadhoo,MV,81.27,few clouds,-0.6,73.08,Scoop Guest House
1795,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1797,Amparo,BR,75.2,clear sky,-22.7,-46.76,Quinta da Bocaína
1798,Eyl,SO,73.08,clear sky,7.98,49.82,Amiin Hotel
1802,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1808,Hithadhoo,MV,81.27,few clouds,-0.6,73.08,Scoop Guest House
1809,Kapaa,US,73.4,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1810,Mar Del Plata,AR,71.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
1813,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1815,Noumea,NC,82.99,clear sky,-22.28,166.46,Hôtel Le Lagon
1816,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
1820,Touros,BR,78.8,broken clouds,-5.2,-35.46,INN NEW HORIZON
1822,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
1824,Port Alfred,ZA,70.0,overcast clouds,-33.59,26.89,The Halyards Hotel
1829,Arraial Do Cabo,BR,73.4,moderate rain,-22.97,-42.03,Pousada Porto Praia
1831,Kendari,ID,75.79,light rain,-3.94,122.5,Hotel Wixel
1832,Trincomalee,LK,77.56,light rain,8.57,81.23,Welcombe Hotel
1839,Padang,ID,77.79,moderate rain,-0.95,100.35,Mercure Padang
1844,Port Macquarie,AU,70.0,overcast clouds,-31.43,152.92,Rydges Port Macquarie
1845,Port-Gentil,GA,80.6,light rain,-0.72,8.78,Fengshui Residence
1846,Carmelo,UY,78.8,clear sky,-33.99,-58.29,Los Muelles Boutique Hotel
